myCode,Achn_brom,Aegi_geni,Agri_eupa,Aila_alti,Aira_cary,Ajug_cham,Ajug_iva ,Alli_amet,Alli_ampe,Alli_spha,Alli_subh,Alth_hirs,Alys_simp,Anag_arve,Anem_hort,Anis_dian,Anis_madr,Anis_rube,Anis_ster,Anth_arve,Anth_odor,Anth_vuln,Arab_hirs,Aren_lept,Aspa_acut,Asph_libu,Asph_lute,Asph_ramo,Aste_linu,Astr_hamo,Astr_sesa,Aven_barb,Aven_fatu,Bell_trix,Bisc_didy,Both_isch,Briz_maxi,Brom_erec,Brom_hord,Brom_scop,Bupl_bald,Cach_liba,Card_nuta,Card_pycn,Care_flac,Carl_cory,Cart_lana,Cata_rigi,Cent_deus,Cent_sols,Cent_eryt,Cera_glom,Cich_inty,Clin_nepe,Coni_macu,Conv_alth,Conv_cant,Coro_scor,Crat_mono,Crep_cory,Crep_negl,Crep_rubr,Crep_vesi,Crup_crup,Cusc_epit,Cyno_chei,Cyno_echi,Dact_glom,Dact_hisp,Dasy_vill,Dauc_caro,Drim_panc,Echi_aspe,Echi_vulg,Elae_ascl,Elyt_repe,Erod_cicu,Eryn_amet,Eryn_camp,Erys_cras,Euph_apio,Euph_exig,Euph_heli,Euph_pepl,Fila_germ,Fila_pyra,Gali_apar,Gali_corr,Gali_luci,Gali_mura,Gali_pari,Gera_moll,Gera_robe,Hedy_rhag,Heli_sali,Hipp_bifl,Hirs_inca,Hord_bulb,Hord_muri,Hyme_circ,Hype_perf,Hypo_achy,Koel_sple,Lact_serr,Lagu_ovat,Lami_ampl,Lath_cice,Lath_ochr,Lego_spec,Leop_como,Lepi_drab,Lina_peli,Linu_aust,Linu_bien,Linu_cory,Linu_stri,Linu_trig,Loli_pere,Loli_rigi,Loni_etru,Loni_impl,Malo_mala,Marr_inca,Medi_arab,Medi_coro,Medi_disc,Medi_falc,Medi_mini,Medi_orbi,Medi_poly,Medi_rigi,Medi_trun,Meli_cili,Meli_sulc,Micr_grae,Mora_sisy,Musc_negl,Myos_ramo,Nige_dama,Onob_aequ,Onob_capu,Onon_recl,Onop_illy,Ophr_bert,Ophr_tent,Opop_chir,Orla_gran,Orni_guss,Orni_narb,Pall_spin,Papa_rhoe,Petr_dubi,Petr_prol,Petr_saxi,Phle_ambi,Phlo_herb,Picr_hier,Plan_lago,Plan_serr,Poa _bulb,Poa _triv,Podo_laci,Poly_mons,Pote_deto,Pote_peda,Prun_dulc,Prun_spin,Prun_webb,Pyru_spin,Quer_cerr,Quer_pube,Ranu_mill,Reic_picr,Rhag_stel,Rham_saxa,Rosa_cani,Rost_cris,Rubu_cane,Rubu_ulmi,Rume_pulc,Rume_thyr,Salv_arge,Salv_verb,Sang_mino,Scan_pect,Scor_muri,Scor_vill,Sedu_ochr,Sedu_rube,Sedu_stel,Sera_vome,Sher_arve,Side_roma,Sile_ital,Sile_vulg,Sily_mari,Sisy_offi,Sixa_atro,Sonc_aspe,Sonc_oler,Stac_cret,Stac_hera,Stel_medi,Stip_aust,Stip_cape,Taen_capu,Teuc_capi,Teuc_cham,Thap_garg,Thel_cyno,Thym_spin,Tord_apul,Tord_offi,Tori_afri,Tori_lept,Tori_nodo,Trac_dist,Trag_porr,Trif_angu,Trif_camp,Trif_cher,Trif_inca,Trif_muta,Trif_scab,Trif_stel,Trif_stri,Trif_subt,Tyri_leuc,Ulmu_mino,Uros_dale,Uros_picr,Vale_erio,Verb_macr,Verb_nive,Vero_arve,Vici_bith,Vici_hybr,Vici_lute,Vici_pere,Vici_sati,Vici_vill,Vulp_cili,Vulp_mura,Vulp_myur,Xera_inap
1A40085,2,2,0,7,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,2,0,2,0,0,2,0,4,2,4,0,3,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,6,2,0,0,0,0,2,0,0,3,2,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
1A401002,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,4,0,4,4,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,2,0,0,0,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,3,0,0,0,6,2,4,3,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
1A70935,0,2,0,4,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,7,2,3,0,2,0,2,2,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,7,2,2,0,0,0,2,0,0,0,2,0,2,2,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A40054,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,7,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,2,0,6,2,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,2,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2A402772,0,2,0,7,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,2,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,3,6,3,2,0,2,0,0,0,0,0,2,2,0,2,1,0,0,0,2,0,0,0,0,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,2,2,3,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,3,0,3,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0
2A71051,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,5,4,2,0,0,0,0,7,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3A40063,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,6,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,2,0,0,0,2,4,4,3,0,0,0,0,2,6,0,2,0,0,2,0,0,0,0,0,2,0,2,0,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,2,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
3A400873,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,0,2,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,2,0,0,2,0,6,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,4,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
3A401013,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,2,2,0,0,2,0,6,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A40086,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
