ID,code,site,time,date,latitude,longitude,habitat_code,habitat,altitude,exposition,slope,vegetation_cover,ailanthus_height,Ch_chamaephytes,G_geophytes,H_hemicryptophytes,P_phanerophytes,T_therophytes,BOREAL,EURI-MEDITERRANEAN,ENDEMIC,EUROPEAN,EURASIATIC,MEDITERRANEAN-ATLANTIC,MEDITERRANEAN-TURANIC,PALAEOTEMPERATE,STENO-MEDITERRANEAN,WIDE,light,temperature,continentality,humidity,reaction,nitrogen,richness,shannon,final_groups,AIL_val,AIL_cov
1,1A40085,site 6,0,14.05.2018,41.104222,16.099806,1,Ailanthus stand,465,350,5,90,0.75,1.4,7.1,32.9,6.4,52.1,1.43,42.14,10.71,2.14,4.29,1.43,5.71,2.86,22.86,6.43,5.35,4.6,2.93,1.61,3.44,1.49,51,0.97,NA,7,37.5
2,1A401002,site 1,T0,16.05.2018,41.091472,16.121889,1,Ailanthus stand,530,270,5,95,0.75,5.5,6.3,20.3,6.3,61.7,0,44.53,7.03,0,0,1.56,3.13,3.91,32.81,7.03,5.02,4.41,2.53,1.37,2.89,1.41,48,0.98,T0,7,37.5
3,1A70935,site 4,0,05.05.2018,41.092083,16.097722,1,Ailanthus stand,510,10,10,85,0.75,4.4,13.8,27.5,4.4,50,2.9,39.86,8.7,1.45,0,1.45,7.97,7.25,23.19,7.25,5.09,4.56,2.8,1.61,3.19,1.62,60,0.98,NA,4,5
4,2A40054,site 4,0,05.05.2018,41.093333,16.094222,1,Ailanthus stand,480,330,10,100,1.25,3.4,12.8,29.9,17.1,36.8,4.27,28.21,3.42,3.42,3.42,0,2.56,12.82,25.64,16.24,3.86,3.5,2.2,1.56,2.85,1.59,48,0.97,NA,9,87.5
5,2A402772,site 3,T0,16.05.2018,41.072778,16.154278,1,Ailanthus stand,535,0,0,100,1.25,1.5,4.4,26.7,6.7,60.7,0,36.3,2.96,0,8.89,2.96,5.19,8.15,20,15.56,4.7,4.24,2.66,1.62,3.12,1.81,57,0.98,T0,7,37.5
6,2A71051,site 9,0,04.05.2018,41.081083,16.131194,1,Ailanthus stand,560,180,5,100,1.75,0,14,29,11.8,45.2,9.68,26.88,0,2.15,6.45,2.15,10.75,4.3,20.43,17.2,3.03,2.64,1.83,1.4,2.04,1.58,34,0.97,NA,9,87.5
7,3A40063,site 5,0,18.05.2018,41.112667,16.117417,1,Ailanthus stand,445,30,10,98,2.75,1.6,17.3,26,9.5,45.7,6.3,37.01,3.15,3.15,3.15,1.57,2.36,8.66,23.62,11.02,4.39,3.96,2.62,1.65,2.75,1.83,52,0.97,NA,8,62.5
8,3A400873,site 7,0,17.05.2018,41.107333,16.095167,1,Ailanthus stand,460,0,0,100,2.25,0,3.6,18.8,26.8,50.9,3.57,33.93,1.79,0,2.68,0,4.46,16.07,25,12.5,3.64,3.57,2.21,1.47,2.47,1.59,41,0.97,NA,8,62.5
9,3A401013,site 2,0,17.05.2018,41.087639,16.123583,1,Ailanthus stand,550,0,0,100,2.75,1.7,8.4,37,12.6,40.3,5.88,29.41,3.36,1.68,6.72,1.68,8.4,5.04,24.37,13.45,4.11,3.8,2.34,1.65,2.79,1.75,46,0.97,NA,9,87.5
10,4A40086,site 6,0,14.05.2018,41.103083,16.099861,1,Ailanthus stand,465,240,2,100,3.75,0,6.4,15.9,34.9,42.9,6.35,25.4,0,12.7,9.52,0,11.11,3.17,9.52,22.22,1.79,1.74,1.35,0.82,1.17,1.03,21,0.96,NA,8,62.5
